iteration,h2d_ms,infer_ms,d2h_ms,total_ms
0,0.6053760051727295,2.891040086746216,0.3631359934806824,3.8595519065856934
1,0.3580479919910431,2.8319039344787598,0.3126400113105774,3.502592086791992
2,0.35183998942375183,2.796639919281006,0.24719999730587006,3.3956799507141113
3,0.3527680039405823,2.768127918243408,0.30716800689697266,3.4280641078948975
4,0.36694398522377014,2.659104108810425,0.2565760016441345,3.2826240062713623
5,0.3925440013408661,2.6148159503936768,0.23996800184249878,3.247328042984009
6,0.43321600556373596,2.7151999473571777,0.24582399427890778,3.394239902496338
7,0.35420799255371094,2.951200008392334,0.4145919978618622,3.7200000286102295
8,0.4715520143508911,2.7501120567321777,0.23968000710010529,3.461344003677368
9,0.35183998942375183,2.661439895629883,0.23817600309848785,3.2514560222625732
10,0.35180801153182983,2.6138880252838135,0.23395200073719025,3.199647903442383
11,0.35183998942375183,2.781599998474121,0.23942400515079498,3.372864007949829
12,0.3518719971179962,2.8053760528564453,0.2800320088863373,3.4372799396514893
13,0.35183998942375183,2.642303943634033,0.25257599353790283,3.2467200756073
14,0.3535360097885132,2.5771520137786865,0.2393600046634674,3.1700479984283447
15,0.35180801153182983,2.60646390914917,0.23849600553512573,3.196768045425415
16,0.35206401348114014,2.623647928237915,0.2388480007648468,3.214560031890869
17,0.47916799783706665,2.93939208984375,0.25484800338745117,3.673408031463623
18,0.39478400349617004,2.59500789642334,0.25116801261901855,3.240959882736206
19,0.35180801153182983,2.7828800678253174,0.2471040040254593,3.3817920684814453
20,0.3559359908103943,2.9349119663238525,0.2443840056657791,3.5352320671081543
21,0.3519040048122406,3.0505599975585938,0.26371198892593384,3.6661760807037354
22,0.38764798641204834,2.6745920181274414,0.27241599559783936,3.334656000137329
23,0.35180801153182983,2.5915520191192627,0.23772799968719482,3.1810879707336426
24,0.35203200578689575,2.6190719604492188,0.2388480007648468,3.2099521160125732
25,0.35183998942375183,2.61027193069458,0.23846399784088135,3.200576066970825
26,0.4216639995574951,2.8968958854675293,0.24297599494457245,3.5615360736846924
27,0.3521279990673065,2.766592025756836,0.24563199281692505,3.364351987838745
28,0.35868799686431885,2.7263998985290527,0.23942400515079498,3.324512004852295
29,0.3830080032348633,2.6398720741271973,0.24748800694942474,3.2703680992126465
30,0.35177600383758545,2.7125439643859863,0.2364480048418045,3.3007678985595703
31,0.35174399614334106,2.642143964767456,0.23852799832820892,3.2324159145355225
32,0.3535040020942688,2.628159999847412,0.24588799476623535,3.2275519371032715
33,0.351967990398407,2.662208080291748,0.23759999871253967,3.2517759799957275
34,0.35180801153182983,2.620959997177124,0.2455040067434311,3.2182719707489014
35,0.35174399614334106,2.6767361164093018,0.25753599405288696,3.2860159873962402
36,0.3524479866027832,2.6759040355682373,0.272352010011673,3.300704002380371
37,0.35446399450302124,2.7098240852355957,0.26655998826026917,3.330847978591919
38,0.3607040047645569,2.72271990776062,0.26815998554229736,3.351583957672119
39,0.3560959994792938,2.626944065093994,0.2898240089416504,3.2728641033172607
40,0.4020160138607025,2.6530239582061768,0.22809599339962006,3.2831358909606934
41,0.37196800112724304,2.6145920753479004,0.25724801421165466,3.2438080310821533
42,0.35177600383758545,2.6564159393310547,0.23887999355793,3.2470719814300537
43,0.3519040048122406,2.5614399909973145,0.23871999979019165,3.152064085006714
44,0.35177600383758545,3.140415906906128,0.24780799448490143,3.740000009536743
45,0.3518719971179962,2.880671977996826,0.23862400650978088,3.471168041229248
46,0.35600000619888306,2.5893120765686035,0.25283199548721313,3.19814395904541
47,0.3731519877910614,2.7880001068115234,0.24006399512290955,3.4012160301208496
48,0.3519040048122406,2.795743942260742,0.22864000499248505,3.3762879371643066
49,0.35206401348114014,3.055327892303467,0.3070720136165619,3.714463949203491
50,0.35916799306869507,2.687648057937622,0.23824000358581543,3.2850561141967773
51,0.35199999809265137,2.6125121116638184,0.23555199801921844,3.200063943862915
52,0.352512001991272,2.7454400062561035,0.36476799845695496,3.4627199172973633
53,0.38044801354408264,2.707007884979248,0.23951999843120575,3.3269760608673096
54,0.35180801153182983,2.649247884750366,0.24137599766254425,3.242432117462158
55,0.35180801153182983,2.765727996826172,0.23987199366092682,3.357408046722412
56,0.37856000661849976,2.6955840587615967,0.2587839961051941,3.332927942276001
57,0.3705599904060364,3.081696033477783,0.23904000222682953,3.691296100616455
58,0.3535360097885132,2.703711986541748,0.24086399376392365,3.298111915588379
59,0.3606080114841461,2.665055990219116,0.23878400027751923,3.2644479274749756
60,0.3623040020465851,3.1140480041503906,0.24185599386692047,3.718208074569702
61,0.35363200306892395,2.615072011947632,0.23180800676345825,3.200511932373047
62,0.35180801153182983,2.6593921184539795,0.238304004073143,3.2495040893554688
63,0.35174399614334106,2.596640110015869,0.23798400163650513,3.186367988586426
64,0.35174399614334106,2.641632080078125,0.23801599442958832,3.2313919067382812
65,0.35174399614334106,2.6211841106414795,0.2476159930229187,3.2205440998077393
66,0.35231998562812805,3.1261439323425293,0.25203201174736023,3.7304959297180176
67,0.4190079867839813,3.3566079139709473,0.2978239953517914,4.073440074920654
68,0.35177600383758545,2.7078399658203125,0.23577600717544556,3.2953920364379883
69,0.35180801153182983,2.640000104904175,0.22924800217151642,3.2210559844970703
70,0.3627200126647949,3.036288022994995,0.24851199984550476,3.647520065307617
71,0.3894079923629761,2.7150719165802,0.25910401344299316,3.363584041595459
72,0.3585279881954193,2.6370880603790283,0.2585600018501282,3.254175901412964
73,0.351936012506485,2.6157760620117188,0.238304004073143,3.2060160636901855
74,0.35523200035095215,2.6004478931427,0.2377600073814392,3.1934399604797363
75,0.35180801153182983,2.954495906829834,0.25065600872039795,3.556960105895996
76,0.35209599137306213,2.7474560737609863,0.24723200500011444,3.3467841148376465
77,0.3523840010166168,2.729599952697754,0.24793599545955658,3.3299200534820557
78,0.3537600040435791,2.982016086578369,0.23929600417613983,3.5750720500946045
79,0.35174399614334106,2.7799360752105713,0.2487040013074875,3.3803839683532715
80,0.35177600383758545,2.673408031463623,0.2728959918022156,3.2980799674987793
81,0.35177600383758545,2.5934081077575684,0.24582399427890778,3.1910080909729004
82,0.3524160087108612,2.6291840076446533,0.2377600073814392,3.219360113143921
83,0.35177600383758545,2.625983953475952,0.23871999979019165,3.216480016708374
84,0.35183998942375183,2.8314239978790283,0.23871999979019165,3.4219839572906494
85,0.40620800852775574,4.122496128082275,0.22489599883556366,4.753600120544434
